Provinsi/Kabupaten/Kota,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
Kota Baubau,6.83
GORONTALO,13.24
Boalemo,16.37
Gorontalo,14.89
Pohuwato,15.24
Bone Bolango,13.16
Gorontalo Utara,15.89
Kota Gorontalo,5.31
SULAWESI BARAT,10.41
Majene,12.98
Polewali Mandar,14.02
Mamasa,13.66
Mamuju,6.99
Mamuju Utara,4.96
Mamuju Tengah,7.22
MALUKU,15.38
Maluku Tenggara Barat,23.38
Maluku Tenggara,21.16
Maluku Tengah,16.71
Buru,15.11
Kepulauan Aru,23.1
Seram Bagian Barat,21.85
Seram Bagian Timur,20.9
Maluku Barat Daya,27.65
Buru Selatan,14.84
Kota Ambon,4.34
Kota Tual,19.39
MALUKU UTARA,5.81
Halmahera Barat,7.9
Halmahera Tengah,9.16
Kepulauan Sula,7.65
Halmahera Selatan,4.81
Halmahera Utara,4.35
Halmahera Timur,10.54
Pulau Morotai,4.49
Pulau Taliabu,6.63
Kota Ternate,3.34
Kota Tidore Kepulauan,6.54
PAPUA BARAT,20.66
Fakfak,19.86
Kaimana,13.83
Teluk Wondama,27.57
Teluk Bintuni,25.34
Manokwari,17.38
Manokwari Selatan,26.52
Pegunungan Arfak,30.88
PAPUA BARAT DAYA,17.95
Raja Ampat,16.57
Sorong,25.1
Sorong Selatan,17.66
Maybrat,29
Tambrauw,28.94
Kota Sorong,13.55
PAPUA,19.16
Jayapura,13.03
Kepulauan Yapen,28
Biak Numfor,25.73
Sarmi,15.17
Keerom,17.76
Waropen,32.6
Supiori,42.56
Mamberamo Raya,35.09
Kota Jayapura,12.03
PAPUA SELATAN,19.71
Merauke,11.31
Boven Digoel,21.96
Mappi,28.46
Asmat,28.47
PAPUA TENGAH,28.9
Mimika,13.7
Dogiyai,29.34
Deiyai,37.29
Nabire,22.65
Paniai,36.31
Intan Jaya,39.21
Puncak,36.94
Puncak Jaya,35.46
PAPUA PEGUNUNGAN,30.03
Nduga,32.89
Jayawijaya,29.08
Lanny Jaya,31.59
Tolikara,28.75
Mamberamo Tengah,32.2
Yalimo,27.35
Yahukimo,30.61
Pegunungan Bintang,25.87
